product_key,stock_code,description,model_used,avg_model_mae,avg_naive_mae,beat_wins,beat_total
3556,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,Double Exp (Trend-only),387.54,321.5,1,3
4288,85099B,JUMBO BAG RED RETROSPOT,Double Exp (Trend-only),348.0,549.67,2,3
618,21212,PACK OF 72 RETROSPOT CAKE CASES,Double Exp (Trend-only),267.97,299.67,2,3
4316,85123A,CREAM HANGING HEART T-LIGHT HOLDER,Double Exp (Trend-only),269.1,282.83,3,3
1442,22197,POPCORN HOLDER,Double Exp (Trend-only),759.35,789.17,2,3
4005,84879,ASSORTED COLOUR BIRD ORNAMENT,Double Exp (Trend-only),650.36,797.33,2,3
115,17003,BROCADE RING PURSE,Double Exp (Trend-only),398.81,404.0,1,3
1254,21977,PACK OF 60 PINK PAISLEY CAKE CASES,Double Exp (Trend-only),227.87,473.17,2,3
4141,84991,60 TEATIME FAIRY CAKE CASES,Double Exp (Trend-only),93.78,295.83,3,3
1711,22492,MINI PAINT SET VINTAGE,Double Exp (Trend-only),160.56,587.0,2,3
18,15036,ASSORTED COLOURS SILK FAN,Double Exp (Trend-only),152.92,134.17,2,3
619,21213,PACK OF 72 SKULL CAKE CASES,Double Exp (Trend-only),113.72,219.83,2,3
3880,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,Double Exp (Trend-only),176.6,194.67,3,3
1830,22616,PACK OF 12 LONDON TISSUES,Double Exp (Trend-only),513.08,543.5,2,3
259,20725,LUNCH BAG RED RETROSPOT,Double Exp (Trend-only),134.17,134.17,1,3
1423,22178,VICTORIAN GLASS HANGING T-LIGHT,Double Exp (Trend-only),180.41,170.17,2,3
1616,22386,JUMBO BAG PINK POLKADOT,Double Exp (Trend-only),166.75,159.33,1,3
635,21232,STRAWBERRY CERAMIC TRINKET POT,Double Exp (Trend-only),131.92,141.0,2,3
3729,84568,GIRLS ALPHABET IRON ON PATCHES,Double Exp (Trend-only),807.01,877.0,2,3
4074,84946,ANTIQUE SILVER T-LIGHT GLASS,Double Exp (Trend-only),222.69,334.0,2,3
