product_a,product_b,co_occurrence_count,support_a,support_b,support_ab,lift,pair_type
72755C - FLOWER FAIRY OIL BURNER SET ROSE,72755D - FLOWER FAIRY OIL BURNER SET SUMMER,10,0.0003855899526275201,0.0003580478131541258,0.00027542139473394294,1994.945054945055,Variant
84745A - PINK HANGING GINGHAM EASTER HEN,84745B - BLUE HANGING GINGHAM EASTER HEN,14,0.0004131320921009144,0.000468216371047703,0.0003855899526275201,1993.3803921568626,Variant
84984A - GREEN PEONY CUSHION COVER,84984B - RED PEONY CUSHION COVER,12,0.000468216371047703,0.00044067423157430867,0.0003305056736807315,1601.8235294117646,Variant
17109B - FLOWER FAIRY INCENSE LAVENDER,17109C - FLOWER FAIRY INCENSE ROSE,10,0.00044067423157430867,0.0004131320921009144,0.00027542139473394294,1512.8333333333335,Variant
37489A - YELLOW/PINK FLOWER DESIGN BIG MUG,37489B - BLUE/YELLOW FLOWER DESIGN BIG MUG,15,0.0006334692078880687,0.000468216371047703,0.0004131320921009144,1392.8900255754475,Variant
37489B - BLUE/YELLOW FLOWER DESIGN BIG MUG,37489D - PINK/GREEN FLOWER DESIGN BIG MUG,13,0.000468216371047703,0.0005508427894678859,0.0003580478131541258,1388.2470588235292,Variant
37489A - YELLOW/PINK FLOWER DESIGN BIG MUG,37489D - PINK/GREEN FLOWER DESIGN BIG MUG,17,0.0006334692078880687,0.0005508427894678859,0.000468216371047703,1341.817391304348,Variant
23429 - RED RETRO KITCHEN WALL CLOCK,23430 - BLUE RETRO KITCHEN WALL CLOCK,13,0.0006334692078880687,0.0004957585105210973,0.0003580478131541258,1140.1062801932367,Variant
20697 - LITTLE GREEN MONSTER SOFT TOY,20698 - LITTLE PINK MONSTER SOFT TOY,13,0.0005783849289412802,0.0005783849289412802,0.0003580478131541258,1070.3038548752834,Variant
DCGSSBOY - BOYS PARTY BAG,DCGSSGIRL - GIRLS PARTY BAG,14,0.0005783849289412802,0.0006334692078880687,0.0003855899526275201,1052.4057971014493,Variant
