product_a,product_b,co_occurrence_count,support_a,support_b,support_ab,lift,pair_type
90155 - RESIN NECKLACE W PASTEL BEADS,90156 - RESIN BRACELET W PASTEL BEADS,10,0.0005783849289412,0.0003855899526275,0.0002754213947339,1234.9659863945578,Cross-Category
85080 - PADDED RED HEART DECORATION,85081 - PADDED HOLLY CHRISTMAS DECORATION,11,0.0006059270684146,0.0005783849289412,0.0003029635342073,864.4761904761905,Cross-Category
23420 - PANTRY HOOK TEA STRAINER,23421 - PANTRY HOOK SPATULA,25,0.0008813484631486,0.000908890602622,0.0006885534868348,859.564393939394,Cross-Category
22879 - NUMBER TILE VINTAGE FONT 0,22888 - NUMBER TILE VINTAGE FONT 9,10,0.0005783849289412,0.000633469207888,0.0002754213947339,751.7184265010352,Cross-Category
23561 - SET OF 6 RIBBONS PARTY,23562 - SET OF 6 RIBBONS PERFECTLY PRETTY,13,0.0004131320921009,0.0011843119973559,0.0003580478131541,731.7891472868218,Cross-Category
82093 - HEART SHAPE BUTTON FRAME,90139 - FLOWER BROOCH 4 ASSORTED COLOURS,10,0.000771179905255,0.000495758510521,0.0002754213947339,720.3968253968254,Cross-Category
22879 - NUMBER TILE VINTAGE FONT 0,22880 - NUMBER TILE VINTAGE FONT 1,15,0.0005783849289412,0.0010190591605155,0.0004131320921009,700.926640926641,Cross-Category
21276 - TWO EMBOSSED HEART MINI DRAWERS,21779 - MA CAMPAGNE MINI WOODEN CHEST,12,0.0007987220447284,0.0006059270684146,0.0003305056736807,682.909090909091,Cross-Category
22879 - NUMBER TILE VINTAGE FONT 0,22887 - NUMBER TILE VINTAGE FONT 8,11,0.0005783849289412,0.000771179905255,0.0003029635342073,679.2312925170068,Cross-Category
23421 - PANTRY HOOK SPATULA,23422 - PANTRY HOOK BALLOON WHISK,29,0.000908890602622,0.0012944805552495,0.0007987220447284,678.8729851708574,Cross-Category
23420 - PANTRY HOOK TEA STRAINER,23422 - PANTRY HOOK BALLOON WHISK,28,0.0008813484631486,0.0012944805552495,0.000771179905255,675.9468085106383,Cross-Category
48173c - DOORMAT BLACK FLOCK,85099f - JUMBO BAG STRAWBERRY,17,0.0010190591605155,0.0006885534868348,0.0004682163710477,667.2821621621623,Cross-Category
90081A - LILY BROOCH AMETHYST COLOUR,90082B - DIAMANTE BOW BROOCH RED COLOUR,11,0.0006610113473614,0.0006885534868348,0.0003029635342073,665.6466666666666,Cross-Category
84657 - GREEN ROSE CUSHION COVER,84909A - PINK PAISLEY QUILT,11,0.0005508427894678,0.0008262641842018,0.0003029635342073,665.6466666666666,Cross-Category
20785 - FUSCHIA RETRO BAR STOOL,20787 - BLUE RETRO BAR STOOL,18,0.0009364327420954,0.0007987220447284,0.000495758510521,662.8235294117648,Cross-Category
47559b - TEA TIME OVEN GLOVE,85099f - JUMBO BAG STRAWBERRY,20,0.0012118541368293,0.0006885534868348,0.0005508427894678,660.1454545454545,Cross-Category
