product_a,product_b,co_occurrence_count,support_a,support_b,support_ab,lift,pair_type
72755C - FLOWER FAIRY OIL BURNER SET ROSE,72755D - FLOWER FAIRY OIL BURNER SET SUMMER,10,0.0003855899526275,0.0003580478131541,0.0002754213947339,1994.945054945055,Variant
84745A - PINK HANGING GINGHAM EASTER HEN,84745B - BLUE HANGING GINGHAM EASTER HEN,14,0.0004131320921009,0.0004682163710477,0.0003855899526275,1993.3803921568624,Variant
84984A - GREEN PEONY CUSHION COVER,84984B - RED PEONY CUSHION COVER,12,0.0004682163710477,0.0004406742315743,0.0003305056736807,1601.8235294117646,Variant
17109B - FLOWER FAIRY INCENSE LAVENDER,17109C - FLOWER FAIRY INCENSE ROSE,10,0.0004406742315743,0.0004131320921009,0.0002754213947339,1512.8333333333337,Variant
37489A - YELLOW/PINK FLOWER DESIGN BIG MUG,37489B - BLUE/YELLOW FLOWER DESIGN BIG MUG,15,0.000633469207888,0.0004682163710477,0.0004131320921009,1392.8900255754477,Variant
37489B - BLUE/YELLOW FLOWER DESIGN BIG MUG,37489D - PINK/GREEN FLOWER DESIGN BIG MUG,13,0.0004682163710477,0.0005508427894678,0.0003580478131541,1388.2470588235292,Variant
37489A - YELLOW/PINK FLOWER DESIGN BIG MUG,37489D - PINK/GREEN FLOWER DESIGN BIG MUG,17,0.000633469207888,0.0005508427894678,0.0004682163710477,1341.817391304348,Variant
23429 - RED RETRO KITCHEN WALL CLOCK,23430 - BLUE RETRO KITCHEN WALL CLOCK,13,0.000633469207888,0.000495758510521,0.0003580478131541,1140.106280193237,Variant
20697 - LITTLE GREEN MONSTER SOFT TOY,20698 - LITTLE PINK MONSTER SOFT TOY,13,0.0005783849289412,0.0005783849289412,0.0003580478131541,1070.3038548752834,Variant
DCGSSBOY - BOYS PARTY BAG,DCGSSGIRL - GIRLS PARTY BAG,14,0.0005783849289412,0.000633469207888,0.0003855899526275,1052.4057971014493,Variant
23017 - APOTHECARY MEASURING JAR,23018 - LARGE APOTHECARY MEASURING JAR,12,0.0006059270684146,0.0005783849289412,0.0003305056736807,943.0649350649352,Variant
35838A - S/6 MULTICOLOUR ORNAMENETAL CANDLE,35838B - S/6 SILVER ORNAMENETAL CANDLE,11,0.0005508427894678,0.000633469207888,0.0003029635342073,868.2347826086957,Variant
47013A - WINE BOTTLE DRESSING LT.BLUE,47013C - WINE BOTTLE DRESSING DARK BLUE,16,0.0006885534868348,0.0007436377657816,0.0004406742315743,860.6340740740741,Variant
23017 - APOTHECARY MEASURING JAR,23019 - SMALL APOTHECARY MEASURING JAR,14,0.0006059270684146,0.000771179905255,0.0003855899526275,825.1818181818181,Variant
23071 - MARIE ANTOINETTE TRINKET BOX GOLD,23072 - MARIE ANTOINETTE TRINKET BOX SILVER,12,0.000495758510521,0.0008262641842018,0.0003305056736807,806.8444444444444,Variant
23428 - IVORY RETRO KITCHEN WALL CLOCK,23430 - BLUE RETRO KITCHEN WALL CLOCK,13,0.000908890602622,0.000495758510521,0.0003580478131541,794.6195286195286,Variant
16202A - PASTEL PINK PHOTO ALBUM,16202B - PASTEL BLUE PHOTO ALBUM,10,0.0005783849289412,0.0006059270684146,0.0002754213947339,785.8874458874459,Variant
85185C - COW  SOCK PUPPET,85185F - LION SOCK PUPPET,11,0.0007436377657816,0.0005233006499944,0.0003029635342073,778.5341130604288,Variant
21460 - GREEN EASTER EGG HUNT START POST,21461 - BLUE EASTER EGG HUNT START POST,13,0.0007436377657816,0.000633469207888,0.0003580478131541,760.0708534621579,Variant
37492C - GREEN BLUE FLOWER PIGGY BANK,37492D - PURPLE GREEN FLOWER PIGGY BANK,13,0.0006610113473614,0.0007160956263082,0.0003580478131541,756.4166666666667,Variant
90030B - RED KUKUI COCONUT SEED NECKLACE,90030C - BROWN KUKUI COCONUT SEED NECKLACE,12,0.0009915170210421,0.0004406742315743,0.0003305056736807,756.4166666666666,Variant
85028L - FRENCH CHATEAU LARGE FRUIT BOWL,85028S - FRENCH CHATEAU SMALL FRUITBOWL,18,0.0007436377657816,0.000908890602622,0.000495758510521,733.4949494949497,Variant
85162B - BLACK RETRODISC LAMPSHADE,85162C - WHITE RETRODISC LAMPSHADE,11,0.0003305056736807,0.0012669384157761,0.0003029635342073,723.5289855072464,Variant
23428 - IVORY RETRO KITCHEN WALL CLOCK,23429 - RED RETRO KITCHEN WALL CLOCK,15,0.000908890602622,0.000633469207888,0.0004131320921009,717.5494071146246,Variant
17090A - LAVENDER INCENSE 40 CONES IN TIN,17090D - VANILLA INCENSE 40 CONES IN TIN,14,0.0007160956263082,0.000771179905255,0.0003855899526275,698.2307692307692,Variant
90125B - AQUA BERTIE GLASS BEAD BAG CHARM,90125D - PURPLE BERTIE GLASS BEAD BAG CHARM,11,0.0004406742315743,0.0009915170210421,0.0003029635342073,693.3819444444445,Variant
84531A - PINK KNITTED EGG COSY,84531B - BLUE KNITTED EGG COSY,36,0.0012393962763027,0.0011567698578825,0.0009915170210421,691.5809523809523,Variant
23018 - LARGE APOTHECARY MEASURING JAR,23019 - SMALL APOTHECARY MEASURING JAR,11,0.0005783849289412,0.000771179905255,0.0003029635342073,679.2312925170068,Variant
72739B - WHITE CHOCOLATE SCENT CANDLE,72739C - DARK CHOCOLATE SCENTCANDLE,12,0.000771179905255,0.000633469207888,0.0003305056736807,676.5465838509317,Variant
90160A - PURPLE BOUDICCA LARGE BRACELET,90160B - RED BOUDICCA LARGE BRACELET,13,0.0006885534868348,0.0007987220447284,0.0003580478131541,651.0400000000001,Variant
47369A - PINK GREEN EMBROIDERY COSMETIC BAG,47369B - BLUE GREEN EMBROIDERY COSMETIC BAG,13,0.0006885534868348,0.0007987220447284,0.0003580478131541,651.0400000000001,Variant
23455 - SMALL PARLOUR PICTURE FRAME,23456 - MEDIUM PARLOUR PICTURE FRAME,22,0.0009639748815688,0.0009915170210421,0.0006059270684146,633.9492063492063,Variant
90125A - PINK BERTIE GLASS BEAD BAG CHARM,90125D - PURPLE BERTIE GLASS BEAD BAG CHARM,11,0.000495758510521,0.0009915170210421,0.0003029635342073,616.3395061728395,Variant
23474 - WOODLAND SMALL BLUE FELT HEART,23475 - WOODLAND SMALL PINK FELT HEART,19,0.0010190591605155,0.0008538063236752,0.0005233006499944,601.4402789886661,Variant
90082A - DIAMANTE BOW BROOCH GREEN COLOUR,90082B - DIAMANTE BOW BROOCH RED COLOUR,13,0.0008813484631486,0.0006885534868348,0.0003580478131541,590.0050000000001,Variant
23456 - MEDIUM PARLOUR PICTURE FRAME,23457 - LARGE PARLOUR PICTURE FRAME,18,0.0009915170210421,0.0008538063236752,0.000495758510521,585.6129032258065,Variant
84559a - 3D SHEET OF DOG STICKERS,84559b - 3D SHEET OF CAT STICKERS,16,0.0011016855789357,0.0006885534868348,0.0004406742315743,580.928,Variant
37492B - BLUE YELLOW FLOWER PIGGY BANK,37492D - PURPLE GREEN FLOWER PIGGY BANK,18,0.0012118541368293,0.0007160956263082,0.000495758510521,571.2797202797203,Variant
90160B - RED BOUDICCA LARGE BRACELET,90160C - TURQ+RED BOUDICCA LARGE BRACELET,20,0.0007987220447284,0.0012118541368293,0.0005508427894678,569.0909090909091,Variant
46775A - BUBBLE GUM CHUNKY KNITTED THROW,46775E - CANDY POP CHUNKY KNITTED THROW,25,0.0008813484631486,0.0014046491131431,0.0006885534868348,556.1887254901961,Variant
84870B - BLUE GEISHA GIRL,84870C - GREEN GEISHA GIRL,25,0.0011016855789357,0.0011292277184091,0.0006885534868348,553.4756097560976,Variant
23473 - WOODLAND SMALL RED FELT HEART,23475 - WOODLAND SMALL PINK FELT HEART,24,0.0014046491131431,0.0008538063236752,0.0006610113473614,551.1650853889943,Variant
